1.68,0.09,0.75,-88.48,199.27,138.63,1.1,0.91,-0.13,-35.46,93.32,-215.52,4
1.71,0.1,0.85,-91.43,212.5,150.18,0.97,1.04,-0.19,-13.23,101.92,-233.93,4
1.69,0.09,0.76,-86.49,222.53,159.48,0.97,1.16,-0.06,-33.69,105.09,-248.48,4
1.65,0.04,0.67,-66.89,232.9,168.11,0.95,1.14,-0.09,-61.55,118.05,-254.42,4
1.67,-0.04,0.71,-47.53,244.36,174.21,0.9,1.03,-0.07,-38.63,127.84,-261.25,4
1.66,-0.09,0.73,-33.99,256.52,177.74,0.83,0.99,-0.0,-6.68,125.24,-274.02,4
1.58,-0.11,0.77,-29.05,263.17,182.2,0.7,1.11,0.08,22.47,116.86,-287.26,4
1.47,-0.11,0.71,-17.87,263.93,180.7,0.64,1.26,0.14,16.71,109.73,-295.24,4
1.3,-0.09,0.73,-9.82,265.03,178.2,0.5,1.26,0.12,-26.34,112.8,-288.54,4
1.24,-0.21,0.67,-7.38,264.39,176.83,0.45,1.19,0.15,-42.26,110.09,-281.25,4
1.12,-0.23,0.64,-14.39,260.76,175.12,0.38,1.0,0.18,-24.79,106.8,-281.49,4
0.93,-0.24,0.72,-17.32,258.23,172.62,0.16,1.04,0.2,-10.67,96.74,-280.95,4
0.81,-0.33,0.63,-16.83,248.35,172.2,0.1,1.15,0.17,-11.4,96.19,-280.3,4
0.78,-0.43,0.64,38.93,257.71,159.66,0.06,1.08,0.18,-14.82,100.79,-272.04,4
0.66,-0.33,0.62,90.55,267.41,140.0,0.01,0.9,0.15,-21.34,111.16,-261.22,4
0.54,-0.31,0.66,94.12,268.72,133.87,-0.11,0.85,0.09,11.46,105.98,-258.26,4
0.5,-0.25,0.65,72.13,257.32,138.72,-0.13,0.99,0.0,39.36,113.38,-258.93,4
0.29,-0.24,0.48,82.35,246.28,140.24,-0.22,0.96,0.14,11.92,124.79,-250.55,4
0.26,-0.25,0.47,107.59,255.15,132.2,-0.28,0.76,0.12,-1.55,134.45,-232.9,4
0.15,-0.11,0.52,119.57,257.01,124.27,-0.37,0.56,0.01,18.38,124.21,-224.97,4
0.07,-0.03,0.49,121.25,257.8,115.58,-0.43,0.55,0.02,44.66,121.68,-229.91,4
-0.01,0.06,0.38,119.3,255.76,106.04,-0.47,0.55,0.0,39.51,115.34,-229.05,4
-0.06,0.16,0.28,118.72,257.13,91.95,-0.49,0.47,-0.03,38.9,105.18,-223.32,4
-0.18,0.31,0.19,113.96,262.13,68.78,-0.49,0.36,-0.07,37.38,96.13,-214.94,4
-0.2,0.37,0.1,124.45,266.77,37.26,-0.5,0.24,-0.07,39.97,72.26,-215.88,4
-0.3,0.49,-0.07,130.91,277.35,-3.57,-0.53,-0.01,-0.15,13.35,49.51,-216.55,4
-0.41,0.57,-0.27,101.65,265.55,-37.38,-0.57,-0.12,-0.18,-10.67,17.35,-207.26,4
-0.65,0.65,-0.57,41.62,244.21,-68.63,-0.68,-0.21,-0.14,-12.68,-16.98,-202.01,4
-0.75,0.68,-0.71,-20.95,203.75,-101.98,-0.75,-0.24,-0.12,-54.05,-57.01,-177.38,4
