0.21,-0.64,0.67,30.67,-56.4,96.68,0.22,0.88,0.28,44.12,111.22,-1.01,0
0.23,-0.65,0.66,29.27,-54.42,96.07,0.25,0.92,0.29,42.59,109.94,-2.62,0
0.25,-0.66,0.7,29.7,-51.25,94.85,0.28,0.93,0.3,31.13,108.48,-1.98,0
0.26,-0.66,0.72,29.76,-46.92,92.65,0.26,0.93,0.33,27.41,112.29,-9.3,0
0.25,-0.66,0.72,28.05,-42.77,89.7,0.26,0.96,0.34,18.75,96.4,-7.26,0
0.22,-0.62,0.7,18.08,-39.39,88.51,0.25,0.94,0.31,16.68,96.28,-6.59,0
0.19,-0.61,0.67,5.76,-37.96,87.35,0.23,0.9,0.32,11.83,92.62,-7.87,0
0.17,-0.6,0.67,-4.6,-36.34,85.09,0.2,0.89,0.33,8.02,89.85,-5.24,0
0.15,-0.61,0.65,-8.02,-36.04,79.45,0.18,0.91,0.35,8.87,80.0,-1.4,0
0.13,-0.61,0.66,-6.49,-35.85,70.98,0.19,0.92,0.37,10.55,72.29,1.04,0
0.14,-0.63,0.65,-3.08,-37.13,62.29,0.2,0.96,0.38,10.24,69.45,6.86,0
0.13,-0.62,0.66,-0.79,-37.1,54.42,0.2,0.93,0.37,8.54,71.74,8.72,0
0.14,-0.61,0.65,-2.44,-35.52,49.02,0.18,0.91,0.36,-3.81,52.8,15.09,0
0.11,-0.62,0.66,-5.27,-33.54,44.66,0.18,0.88,0.35,-7.44,49.6,19.57,0
0.08,-0.61,0.63,-12.29,-32.65,41.34,0.15,0.86,0.35,-5.82,47.29,15.15,0
0.05,-0.61,0.64,-20.85,-32.5,37.87,0.12,0.88,0.37,-3.2,45.18,14.57,0
0.04,-0.63,0.65,-28.02,-31.95,34.45,0.12,0.92,0.37,-5.88,41.25,18.02,0
0.03,-0.66,0.66,-33.45,-32.1,31.07,0.12,0.94,0.4,-10.03,37.84,17.71,0
0.02,-0.68,0.66,-32.32,-32.53,26.04,0.11,0.95,0.42,-11.49,30.58,25.61,0
-0.0,-0.71,0.69,-27.59,-32.41,19.54,0.09,0.95,0.44,-9.27,27.96,26.31,0
-0.02,-0.73,0.69,-21.16,-31.55,13.72,0.08,0.96,0.44,-7.8,25.0,24.57,0
-0.01,-0.72,0.68,-17.93,-29.7,9.97,0.08,0.93,0.42,-6.52,21.16,24.09,0
-0.01,-0.69,0.66,-18.17,-28.29,9.12,0.08,0.91,0.4,-7.35,20.3,21.68,0
-0.0,-0.68,0.67,-17.59,-25.27,9.3,0.07,0.89,0.39,-7.5,18.93,19.54,0
0.0,-0.69,0.67,-14.85,-22.32,9.09,0.06,0.86,0.38,-3.99,15.73,15.37,0
-0.02,-0.69,0.67,-11.28,-19.91,7.68,0.07,0.89,0.39,-1.34,9.7,13.9,0
