0.08,-0.79,0.56,-14.3,62.96,-39.54,0.14,0.82,0.49,-21.74,-59.36,-34.73,0
0.07,-0.77,0.56,-7.71,68.99,-43.11,0.13,0.83,0.48,-23.6,-67.87,-38.57,0
0.04,-0.76,0.54,-4.24,73.35,-45.24,0.13,0.84,0.46,-23.84,-72.71,-41.8,0
0.02,-0.76,0.53,-6.95,75.34,-46.4,0.12,0.85,0.45,-24.85,-73.78,-42.96,0
0.02,-0.78,0.51,-12.59,75.46,-45.76,0.13,0.86,0.47,-21.86,-72.2,-44.45,0
0.02,-0.79,0.52,-15.3,75.27,-44.54,0.13,0.86,0.46,-23.05,-70.49,-44.42,0
0.02,-0.81,0.53,-14.18,74.7,-43.69,0.13,0.86,0.45,-18.08,-70.61,-44.02,0
0.0,-0.8,0.51,-10.88,72.74,-41.68,0.12,0.86,0.46,-20.37,-69.94,-43.29,0
0.01,-0.82,0.52,-5.27,70.73,-39.79,0.12,0.85,0.44,-17.56,-66.62,-43.17,0
0.02,-0.81,0.53,2.13,68.9,-40.3,0.12,0.85,0.45,-8.72,-65.85,-42.68,0
0.01,-0.79,0.51,9.15,66.59,-41.04,0.14,0.88,0.44,-8.23,-63.02,-42.5,0
0.02,-0.77,0.53,11.37,64.36,-41.28,0.13,0.89,0.42,-8.69,-62.13,-39.57,0
-0.0,-0.74,0.53,8.38,60.85,-40.82,0.12,0.89,0.4,-10.55,-61.13,-35.73,0
-0.01,-0.75,0.53,4.02,56.28,-39.7,0.11,0.89,0.41,-10.18,-58.23,-33.78,0
-0.01,-0.76,0.53,1.74,52.65,-38.54,0.11,0.89,0.43,-7.29,-54.33,-31.16,0
-0.01,-0.77,0.54,-0.12,48.93,-37.38,0.13,0.9,0.42,-5.88,-51.04,-26.83,0
-0.01,-0.77,0.54,-4.45,44.94,-34.88,0.13,0.91,0.41,-6.74,-48.05,-25.15,0
-0.02,-0.77,0.55,-6.52,40.67,-32.01,0.11,0.9,0.41,-10.0,-44.21,-22.16,0
-0.04,-0.78,0.55,-4.82,37.32,-30.15,0.08,0.89,0.41,-9.21,-41.59,-19.79,0
-0.06,-0.76,0.56,-3.2,33.96,-27.62,0.08,0.9,0.41,-8.69,-37.2,-18.02,0
-0.05,-0.76,0.55,-4.82,29.91,-25.12,0.08,0.91,0.41,-8.54,-33.78,-16.43,0
-0.06,-0.75,0.58,-6.71,26.68,-22.47,0.09,0.92,0.4,-9.76,-30.27,-13.2,0
-0.07,-0.75,0.57,-9.24,22.65,-20.12,0.08,0.93,0.4,-9.05,-26.68,-10.58,0
-0.07,-0.74,0.58,-11.86,18.41,-17.53,0.06,0.92,0.4,-9.24,-21.43,-8.08,0
-0.06,-0.76,0.59,-12.44,14.88,-14.66,0.07,0.91,0.4,-8.48,-18.35,-5.79,0
-0.06,-0.78,0.61,-11.62,12.01,-11.95,0.07,0.91,0.41,-4.63,-16.31,-4.94,0
-0.04,-0.8,0.62,-8.08,10.76,-9.6,0.09,0.92,0.43,-1.52,-11.62,-5.67,0
-0.04,-0.8,0.62,-2.65,10.52,-8.45,0.09,0.93,0.44,0.24,-10.18,-6.74,0
-0.03,-0.79,0.6,-1.16,10.3,-6.55,0.1,0.92,0.44,-1.04,-9.73,-7.68,0
-0.02,-0.77,0.6,-2.5,10.09,-4.45,0.1,0.9,0.44,-2.32,-6.68,-8.29,0
-0.02,-0.76,0.58,-5.91,9.94,-2.93,0.1,0.88,0.44,-2.8,-6.07,-8.63,0
-0.01,-0.76,0.6,-6.19,11.19,-2.87,0.09,0.88,0.46,-1.4,-7.26,-8.72,0
0.01,-0.75,0.57,-4.85,12.8,-3.96,0.11,0.87,0.46,-3.75,-10.27,-9.97,0
-0.01,-0.74,0.56,-6.43,13.32,-5.95,0.13,0.88,0.46,-4.51,-12.29,-9.21,0
0.0,-0.75,0.54,-10.79,13.54,-6.55,0.1,0.87,0.44,-7.77,-12.2,-7.47,0
-0.02,-0.74,0.55,-14.3,13.08,-6.65,0.11,0.86,0.44,-6.92,-12.74,-6.77,0
-0.01,-0.77,0.55,-14.79,12.26,-6.49,0.11,0.86,0.45,-5.49,-13.26,-5.85,0
-0.02,-0.81,0.58,-9.76,11.98,-6.52,0.1,0.89,0.45,-1.34,-14.12,-5.61,0
-0.02,-0.83,0.59,-1.52,11.37,-6.28,0.11,0.92,0.44,2.01,-11.37,-6.83,0
-0.04,-0.87,0.65,8.78,10.67,-4.21,0.09,0.94,0.43,-0.58,-7.07,-7.65,0
-0.05,-0.9,0.72,22.9,11.83,-2.47,0.04,0.98,0.45,5.61,-5.79,-9.05,0
-0.13,-0.86,0.72,28.14,11.95,3.32,0.01,1.03,0.44,5.52,-2.5,-11.77,0
-0.2,-0.84,0.71,22.16,9.36,14.18,-0.03,1.03,0.41,2.38,6.07,-15.03,0
-0.26,-0.86,0.72,15.0,5.15,26.25,-0.11,1.03,0.39,12.16,12.65,-15.27,0
